Column3;Column4;Column5
0;1.9032503259433688;-1.272869457200037
1;1.9044855715652476;-1.274847372515308
2;1.9056695493642775;-1.2769020937208455
3;1.9081589024889147;-1.2813001398137338
4;1.9097867991813486;-1.2843083409573945
5;1.911115494534628;-1.286833611253337
6;1.9125013702685958;-1.2894942239829694
7;1.9158543947137765;-1.296204824900401
8;1.9194531723281698;-1.3037964462500038
9;1.921928234859237;-1.309222728380719
10;1.9231669690622872;-1.3120279822731906
11;1.9272609403190641;-1.3219051761482117
12;1.9284742598336366;-1.3250043352100402
13;1.9304653060691699;-1.3302506309325168
14;1.9331341138583253;-1.3378353205866051
15;1.9360083059852664;-1.3467601350669596
16;1.9382594277206866;-1.3544605209834824
17;1.9409382386631502;-1.3647606157996042
18;1.942943185148633;-1.372803352684842
19;1.9438772910146669;-1.376949391683132
20;1.9455383089663436;-1.3855499035529886
21;1.9462540433787752;-1.3900010156575255
22;1.9468859785808668;-1.3945181015781907
23;1.947558851428956;-1.4001811115118246
24;1.9481512607510096;-1.406788819101172
25;1.9483466366474254;-1.4099774681377528
26;1.9487543428379623;-1.421808089711096
27;1.9487961696254597;-1.4275833121418546
28;1.948708424931481;-1.4324560297502384
29;1.948478603780436;-1.4382355943420275
30;1.9480797782074177;-1.4437361492130425
31;1.9477551252695844;-1.4471529185149212
32;1.9474078038061597;-1.450420289948335
33;1.9465985649173208;-1.4578596009398501
34;1.9463155857990717;-1.4604398399442104
35;1.9456532882846806;-1.4670344151426504
36;1.9449155128338649;-1.4758149890209944
37;1.9443070746782392;-1.4872083620600278
38;1.9442136273735406;-1.4990183285750094
39;1.9442835332488269;-1.5022396169518248
40;1.9456543031059312;-1.526958380829799
41;1.9466160587694228;-1.5380949401044817
42;1.94817989954858;-1.5533025159620057
43;1.9494325557052852;-1.5631305508565267
44;1.950948788280828;-1.5732169997608971
45;1.9549789739275731;-1.5939921647100312
46;1.957574668574736;-1.6046217092328998
47;1.9646246952417847;-1.6280536597917747
48;1.9684887720101756;-1.6387381370861875
49;1.9719529502798068;-1.6472871456516318
50;1.9787795035374773;-1.6621400657769374
51;1.9863689529644883;-1.6763260654852719
52;1.9969421774566951;-1.6927243677509916
53;2.012055717224689;-1.711004222532361
54;2.017319741192513;-1.716275625628275
55;2.030766880296891;-1.7277382206522418
56;2.0348206793972956;-1.7307550430117296
57;2.0401212549365124;-1.7346391222438446
58;2.0528488086679486;-1.7435933453435148
59;2.055286718146119;-1.745280839274631
60;2.06468329755364;-1.7517600156256534
61;2.074888707712019;-1.7587818053182005
62;2.0850153221866523;-1.7656319203006399
63;2.0939616657640343;-1.771587634133284
64;2.10053696434972;-1.7759968173544265
65;2.1102430435469146;-1.782616025917666
66;2.1156447665429208;-1.7863521248175749
67;2.122175520972599;-1.790913022135836
68;2.1311068762254775;-1.7971600663856677
69;2.140521736751387;-1.8037309174074014
70;2.150226747941474;-1.8104890792674564
71;2.160388986196096;-1.817547681127191
72;2.1668872138994453;-1.8220741996623857
73;2.1734485124981044;-1.8266967151283642
74;2.177413292269887;-1.829534686876233
75;2.181394884981061;-1.832428705719588
76;2.1934190942499177;-1.841458086366204
77;2.2068249583622297;-1.8521614129155988
78;2.218941399398485;-1.8624341039112295
79;2.229451789336803;-1.871790221868414
80;2.237052468595234;-1.8788419890097678
81;2.242079172866423;-1.8835500671435006
82;2.2483072688946466;-1.8894783086057472
83;2.25805680546111;-1.8991061025422689
84;2.2616154077001935;-1.9027421046599968
85;2.2709512090557356;-1.912433226636266
86;2.2801780732967103;-1.9221447323619212
87;2.2847959099975084;-1.927000658019229
88;2.294106278634339;-1.9368124065470858
89;2.2987735355905614;-1.9418489384316795
90;2.3081455111324303;-1.952214155818542
91;2.313986348036687;-1.9588430860198462
92;2.32323936830375;-1.969796498580301
93;2.3323266221446306;-1.9812367921149774
94;2.336803410223854;-1.9871636644947854
95;2.344470926624897;-1.997861486813616
96;2.3539957035587693;-2.0121604096952423
97;2.3560345339773123;-2.015377379579587
98;2.3638791081504498;-2.0284411436585708
99;2.368505240243211;-2.036856487867021
100;2.372841898347642;-2.0453680644149554
101;2.3760123090774097;-2.0520695553357884
102;2.3774965991547434;-2.0553723813410905
103;2.38025841728192;-2.06187138131063
104;2.3872152940126035;-2.0811297659569465
105;2.3898922334350554;-2.0903231850154995
106;2.391414772984629;-2.096357310921938
107;2.3921904277326473;-2.099765589991224
108;2.393917468980959;-2.108093380139754
109;2.394655034176259;-2.1119787171539497
110;2.3959454422458073;-2.1200130897182925
111;2.396471940067693;-2.123965311726859
112;2.397545584323657;-2.1327625350404187
113;2.397852197557973;-2.1353721975661046
114;2.398950505827468;-2.1448041578750425
115;2.3995923721556514;-2.1509298931866163
116;2.3999903512077156;-2.155239476099064
117;2.400644628504083;-2.163179945911062
118;2.4011168198731605;-2.170267300679997
119;2.4016253534381393;-2.179962142016515
120;2.4020598530462447;-2.189984656519332
121;2.402826992679508;-2.2045374943121225
122;2.4032048244292286;-2.2101016899706605
123;2.404356166755908;-2.224707125677251
124;2.4050078078450983;-2.2322946814497353
125;2.4064649023326523;-2.2494430225107434
126;2.4073467182353707;-2.262252057772164
127;2.4077063321796954;-2.268761548199307
128;2.408554431252749;-2.2866509530593166
129;2.409007431245658;-2.297770370391846
130;2.4092786372034842;-2.3056288571263637
131;2.409739133080956;-2.319628645707063
132;2.409916679189868;-2.3258546936982905
133;2.4104051593322926;-2.34454927064647
134;2.4111053613786657;-2.358736913019905
135;2.412321619332087;-2.371692091752899
136;2.413195224301373;-2.3783498299342694
137;2.414859607266268;-2.388554874184128
138;2.416570301476088;-2.3971887499340117
139;2.423038512626525;-2.421500961016733
140;2.42586826130641;-2.4300995804659573
141;2.4317293658588874;-2.4453375807034505
142;2.4353773628237203;-2.4536444573369063
143;2.437696014422552;-2.4585475773633148
144;2.4416797787428246;-2.4665816622279637
145;2.4458040404392247;-2.47445668880729
146;2.4509503495589726;-2.483682986561866
147;2.457319907392304;-2.4942604512203026
148;2.4652485363222327;-2.506149198595352
149;2.4739545042985993;-2.5177404055142754
150;2.4820455798534224;-2.5276231787310883
151;2.4844480974914425;-2.5303693338555187
152;2.498131762413695;-2.5446721858808505
153;2.5020720525547198;-2.548411593341273
154;2.5129466035369883;-2.5581572191962656
155;2.5199902262723404;-2.564017738805443
156;2.5286670487849072;-2.5709007407656714
157;2.5346450424658773;-2.5753310858213956
158;2.540767697942187;-2.5796490158796206
159;2.5470171439921527;-2.5838695772333455
160;2.553424001774368;-2.587927583817737
161;2.566381994082999;-2.595552925486338
162;2.5794344744905446;-2.6022542220890856
163;2.587505151694248;-2.6060027104101695
164;2.59850665474993;-2.6107022448495747
165;2.613559554365538;-2.6166047837525817
166;2.6237071263222616;-2.620218122582734
167;2.634957599995335;-2.623994101813254
168;2.6404922698457844;-2.625733127792148
169;2.644588721231687;-2.6269773934833305
170;2.6565681143400273;-2.6304728889775015
171;2.660465893388209;-2.631593567061427
172;2.673116676358486;-2.6351775213576563
173;2.6792917951858977;-2.6369201154498954
174;2.6853945247826356;-2.638631894150426
175;2.6902627270678536;-2.640012284198722
176;2.700040598628892;-2.6427856652626778
177;2.706172215463086;-2.6444903814643776
