Column4;Column5
1.5012816035720717;-0.9968229099428796
1.5015228882713365;-0.9967767090311789
1.5019904630636296;-0.9966585220898047
1.5022073290980693;-0.9965912607649873
1.5023938602552367;-0.9965270593147054
1.5025562953205667;-0.9964570870510335
1.502810689134367;-0.9963296815509806
1.5030094412044177;-0.9961918036467852
1.5031404351670068;-0.9960667084544859
1.5031994765663264;-0.9959908921808085
1.5032292219548062;-0.9959406454621816
1.503269325244062;-0.995863644263287
1.503319897581899;-0.9957236920262229
1.503334862676248;-0.9956609162622154
1.5033509686127373;-0.9955379949661861
1.5033638843201482;-0.9954146142679862
1.503362109685767;-0.9953542772595418
1.503361580745749;-0.9952494070978808
1.5033512439852426;-0.9951390263178841
1.5016275167327438;-0.9994834684340523
1.5042102375350104;-0.9990401514660551
1.5003521981724297;-0.9969743141915434
1.500925301598978;-0.9968492986349667
1.501249774965236;-0.9967737424958498
1.5016128394379662;-0.9966610898268141
1.5017850457426332;-0.9965985979116908
1.5019342893649745;-0.996539222677032
1.5021156597465475;-0.9964461388193495
1.502323235055997;-0.996307400939177
1.5023923558956054;-0.9962475354079646
1.5025400989145656;-0.9960750730224291
1.5025400989145656;-0.9960750730224291
1.5026377639956225;-0.9959080484838224
1.502672284886416;-0.9958295530041334
1.502722836900839;-0.9956404130789566
1.5027297327088667;-0.9955933655259454
1.5027411965600692;-0.9954860461535723
1.5027522641547566;-0.9953528936666616
1.502770200210454;-0.9952295365658653
1.5031293141456608;-0.9951528667715144
1.5040512948219031;-0.9950612436111441
1.5073393710502299;-0.9948465988874133
1.512852771431897;-0.9945366153074818
1.5157837884725827;-0.9943973146096707
1.5229144378420374;-0.9941381260972951
1.5283630206661736;-0.9939695754716417
1.5454158564168399;-0.9937817485412035
1.5529043377225296;-0.9938671275640081
1.5656975162496747;-0.9942927583273514
1.579326993161396;-0.9953799254768029
1.588190258525602;-0.9964426481920344
1.6005109057662805;-0.9985126826690184
1.6142645490299883;-1.0016925313562741
1.6274052987926892;-1.0058155048398865
1.6351509012826424;-1.0088333173878092
1.645265753891862;-1.0135784117081204
1.6520107401362454;-1.0172975700617413
1.660821796416485;-1.0228324842498062
1.6654945631548934;-1.0260845026216472
1.6666209512455923;-1.0268980978870876
1.6720813835059543;-1.0310247313440313
1.6821229912059337;-1.039476861344399
1.686727621226057;-1.0438266189548853
1.6918803922981613;-1.0491895873372368
1.6965931703779904;-1.0547046426172326
1.7033676277393117;-1.064158413745078
1.706224678123208;-1.0689937013033135
1.7105124465021415;-1.0778555932034164
1.7128006295849674;-1.0839344991257807
