Column3;Column4;Column5
0;1.5016368182606685;-0.9937813483517692
1;1.5016764033235275;-0.9937198054817887
2;1.5024497116283104;-0.9935914202974018
3;1.5051756441819448;-0.9934036085801491
4;1.5106985420243255;-0.9931175016508064
5;1.5178700455640157;-0.9928512105282499
6;1.5178700455640157;-0.9928512105282499
7;1.5257270383756592;-0.9926123276314072
8;1.532710283994695;-0.992413419296894
9;1.5423197482479032;-0.9921581635126285
10;1.5534558971890178;-0.9919192079171878
11;1.563593832563736;-0.9917552006267764
12;1.5752073473835058;-0.9916265341538844
13;1.5843568290570722;-0.9915726813144875
14;1.5972358982626487;-0.9916042495072488
15;1.6177672389359576;-0.9918936451156979
16;1.626945812961536;-0.9920920205325431
17;1.6341597702696102;-0.9922804360408072
18;1.6427418216488483;-0.9925335025103564
19;1.6541831904780528;-0.99295453873458
20;1.6605224142004662;-0.9932276519355574
21;1.6636421494353453;-0.9933680151938884
22;1.6727701089241949;-0.9938058427861561
23;1.684183338125235;-0.9944248986894241
24;1.6895134096738442;-0.9947419210023779
25;1.6974048616492479;-0.9952764530471685
26;1.7078298530849247;-0.9960368476466444
27;1.7207148608840441;-0.9970882234336413
28;1.7296480529504203;-0.997883785442611
29;1.7372521844104911;-0.9986144560335624
30;1.7435548231984321;-0.9992519906020657
31;1.7498292376425666;-0.9999161402779224
32;1.7598129453234088;-1.0010417350323106
33;1.7622991202413107;-1.0013346610194416
34;1.770884962268932;-1.0023713931337677
35;1.7794118329456659;-1.003487371621922
36;1.783196404919347;-1.0040104823573441
37;1.7883016930250502;-1.0047358626103584
38;1.7975407592617065;-1.0061170918484545
39;1.8040527861527471;-1.0071247288631175
40;1.8092610420383377;-1.0079694417422442
41;1.82040586006484;-1.0098803736737387
42;1.8259419457802761;-1.010843188369985
43;1.8313982987698376;-1.0118296777235587
44;1.8421149099557734;-1.0138633652058173
45;1.8552215796957685;-1.0164910097337236
46;1.865551699484077;-1.018683902427547
47;1.8746462222369789;-1.0207101286730647
48;1.8824122990746444;-1.0225024099924598
49;1.8902297368599295;-1.0243750437894603
50;1.900600612623811;-1.0269533458839613
51;1.9045348418300556;-1.0279678381742072
52;1.9175304511157558;-1.0314139718960325
53;1.9228047550262688;-1.0328719914170212
54;1.924121567622938;-1.03323831047114
55;1.9332748344446924;-1.03583632073197
56;1.9397737253648355;-1.0377508985260504
57;1.9488251725202712;-1.040497143260851
58;1.9565557722817626;-1.0429199991044122
59;1.9642658906462278;-1.0454107129173695
60;1.9745311796252998;-1.0488437600886527
61;1.9822258876495957;-1.051507213610755
62;1.9886374553279271;-1.0537858855470301
63;1.9924863598053613;-1.0551806948533515
64;2.153780275886326;-1.1343710680339603
65;2.2098775233710723;-1.1736673158843112
66;2.264960867349584;-1.2198809839541125
67;2.2987264350233287;-1.2525647556416015
68;2.3428081062650628;-1.30100170311783
69;2.3842398191415146;-1.3535089763373653
70;2.4270732217279494;-1.415800058482175
71;2.458117100509992;-1.4667504552876909
72;2.483436342055091;-1.5125468699285605
73;2.516064905724995;-1.5777372813224435
74;2.542454326818303;-1.6367459250248972
75;2.5662846118256355;-1.6958445118899468
76;2.5906142159675127;-1.7543395011115153
77;2.6165078350743243;-1.809798899069489
78;2.639466563237114;-1.8547701404590664
79;2.6628953306472116;-1.9016174602479838
80;2.689137857606172;-1.958428047775223
81;2.7062598555661803;-1.9996381207546297
82;2.722035669213752;-2.041918240260745
83;2.7394904153073196;-2.0971635589963284
84;2.753464403950486;-2.1477939622972455
85;2.779615812744868;-2.2283517693271597
86;2.812764524909423;-2.30032328959202
87;2.841417179063768;-2.3511244326937373
88;2.8647188188269186;-2.3950152282390214
89;2.8873595097467293;-2.4432709460501782
90;2.9039699063233386;-2.483851695484359
91;2.9220952927865778;-2.5368066951759074
92;2.934738989221184;-2.580581793351755
93;2.9460825828246153;-2.6271835469927804
94;2.9599765737855592;-2.7014044456459443
95;2.9695939643439044;-2.782933605988629
96;2.9728965776688328;-2.8497684476054372
97;2.972908255795278;-2.8917930077188534
98;2.97393587225062;-2.946571969590547
99;2.977293755056565;-3.0149324276721603
100;2.984040847529437;-3.0714804989052618
101;2.992530881314825;-3.119431397766804
102;3.0002079173752247;-3.164028672330094
103;3.0088804445801585;-3.2237908196123977
104;3.0140056308394927;-3.267107788554626
105;3.018471327684331;-3.3192705112654504
106;3.0207841740845547;-3.3678172989312047
107;3.021175025084007;-3.4167812054051585
108;3.0194050288602394;-3.4678072599526666
109;3.015874079921617;-3.5138423080792114
110;3.010573329198562;-3.5591901598005182
111;3.003037772655485;-3.607442600721627
112;2.9927181338339284;-3.6600757732893827
113;2.982714213644222;-3.7050562313040296
114;2.9700099279500023;-3.7773855773155347
115;2.9614179667650737;-3.8606999044343255
116;2.9539577303556976;-3.9275660021226018
117;2.9429991327444425;-3.99802915081587
118;2.9294400106539444;-4.062855193089201
119;2.912626639136959;-4.125191985372289
120;2.891875296510745;-4.187376394411347
121;2.866874399204199;-4.2494643794254605
122;2.8411461695802065;-4.303794336470344
123;2.823013788017057;-4.337844982334363
124;2.8031341140516193;-4.371403727306985
125;2.774163616253138;-4.411481153714379
126;2.729519925661688;-4.468391225845824
127;2.7024581572875714;-4.508929764038978
128;2.6778465419022335;-4.552274744050359
129;2.659397262266009;-4.589029056512513
130;2.6194700951096426;-4.664504740420102
131;2.589903232937244;-4.709869185082365
132;2.5537958389335706;-4.757214712194211
133;2.5195242152802133;-4.796183565487684
134;2.472465174839018;-4.842522651502039
135;2.4159965606439395;-4.889549956335927
136;2.350472315501424;-4.935298551369075
137;2.281938318288339;-4.980188217322388
138;2.234281834386758;-5.0161924105124625
139;2.189066394758993;-5.054656486389393
140;2.1585183654485247;-5.083608603846514
141;2.1050474368190693;-5.131008918540486
142;2.04336286102278;-5.177356073363642
143;1.9891610299216003;-5.210236076349243
144;1.8984544588633672;-5.25400205544902
145;1.9066991902760222;-5.253492302157928
146;1.9044941430841655;-5.256175972733514
